SampleID,pH,Cond,ORP,Temperature,DO,HPC,Chlorine,Alk,Distance
April_Moscow_Post_F,7.68,428,398,22.3,5.63,6,1.1741578,214,0
April_Moscow_5_2_F,7.65,345,614.6,20,3.28,80,0.565204,160,3.418786908
April_Moscow_5_F,7.65,345,614.6,20,3.28,80,0.565204,160,3.418786908
April_Moscow_1_F,8,415,325.8,19,5.23,104,0.5705457,212,0.854209777
April_Moscow_4_F,7.98,397,334.6,16.6,4.25,6600,0.1538931,200,2.58572038
April_Moscow_2_F,7.98,434,321,17.8,2.29,284,0.6827214,214,1.089240178
April_Moscow_3_2_F,8.06,430,330.4,18.3,3.12,400,0.2073101,212,2.272108437
April_Moscow_3_F,8.06,430,330.4,18.3,3.12,400,0.2073101,212,2.272108437
August_Moscow_Post_F,7.63,411,412.1,24.6,4.92,104,1.4465845,216,0
August_Moscow_5_F,7.63,411,412.1,24.6,4.92,104,1.4465845,216,0
August_Moscow_4_F,7.33,304,454.8,21.5,3.69,400,0.084451,162,3.054251745
August_Moscow_2_F,7.61,421,422.1,23.5,4.55,95,1.0619821,208,1.089240178
August_Moscow_3_F,7.3,338,456.5,22.5,1.9,290,0.3248275,188,2.272108437
DEC_MOSCOW_POST_F,7.97,424,412.6,19.5,4.05,1620,0.4904202,216,0
DEC_MOSCOW_2_F,8.09,423,374.5,16.1,5.8,7100,0.2126518,220,1.089240178
DEC_MOSCOW_4_F,8.08,407,403.8,13.5,7.41,2800,0.0256923,206,2.58572038
DEC_MOSCOW_1_F,7.67,417,378.3,18.6,3.13,2120,0.3461943,214,0.854209777
DEC_MOSCOW_5_F,7.54,336,425.5,15.3,1.19,2100,0,160,3.418786908
DEC_MOSCOW_3_F,8.07,412,387,13.7,4.78,1560,0.191285,210,2.272108437
FEB_MOSCOW_POST_F,8.08,429,371.9,18.9,5.08,21,0.4850785,218,0
FEB_MOSCOW_2_F,8.15,416,394.7,16.6,3.32,13800,0.3408526,210,1.089240178
FEB_MOSCOW_5_F,7.73,329,437.1,17.2,4.95,9800,0.0524008,160,3.418786908
FEB_MOSCOW_4_F,8.22,405,416.6,14.7,7.63,2700,0.1699182,204,2.58572038
FEB_MOSCOW_1_F,8.15,413,395.5,16,5.75,65,0.298119,212,0.854209777
FEB_MOSCOW_3_F,8.15,409,402.2,14.7,5.43,1050,0.0577425,208,2.272108437
JAN_MOSCOW_POST_F,8.01,428,398.5,19.3,5.18,16,0.6132793,214,0
JAN_MOSCOW_1_F,8.09,411,408.6,15.6,4.01,33,0.2553854,208,0.854209777
JAN_MOSCOW_2_F,8.05,424,403.4,13.7,6.66,97,0.2714105,212,1.089240178
JAN_MOSCOW_3_F,7.99,416,405.7,13.4,4.33,430,0.0417174,208,2.272108437
JAN_MOSCOW_5_F,7.65,325,453.8,12.1,2.64,74,0.0791093,156,3.418786908
JAN_MOSCOW_4_F,7.91,451,404.6,14.8,4.34,12200,0.0470591,202,2.58572038
July_Moscow_Post_F,8.07,431,468.6,23.3,3.4,44,1.3824841,218,0
July_Moscow_5_F,7.34,316,466.2,20.8,3.4,49,0.6827214,158,0
July_Moscow_4_F,7.46,314,469.4,20.1,5.43,37,0.2500437,158,3.054251745
July_Moscow_2_F,7.66,382,462.6,22.3,2.23,63,0.7948971,192,1.089240178
July_Moscow_1_F,7.66,330,459.3,21.2,3.83,69,0.1485514,164,0.854209777
July_Moscow_3_F,7.57,331,465.5,20.9,2.07,64,0.2553854,168,2.272108437
June_Moscow_5_F,7.51,320,473.5,21.8,2.59,20,0.2607271,158,0
June_Moscow_Post_F,7.86,431,383.8,23.8,2.75,71,1.1474493,216,0
June_Moscow_3_F,7.76,372,400.4,21.9,2.44,300,0.2607271,186,2.272108437
June_Moscow_2_F,7.75,399,378.2,22,2.4,17700,0.351536,196,1.089240178
June_Moscow_1_F,7.64,326,189.1,23.1,4.58,119500,0,162,0.854209777
June_Moscow_4_F,7.6,325,383.7,20.7,2.51,1670,0.0256923,160,3.054251745
MAR_MOSCOW_POST_F,7.81,457,343.6,20.4,2.73,1,0.3729028,212,0
MAR_MOSCOW_1_F,7.87,412,360.5,17.1,2.86,25,0.1538931,204,0.854209777
MAR_MOSCOW_5_F,7.46,346,381.6,14.8,2.49,290,0.0684259,160,3.418786908
MAR_MOSCOW_2_F,7.84,422,376.5,15.8,2.34,1390,0.2073101,210,1.089240178
MAR_MOSCOW_4_F,7.81,412,367.7,15,5.24,21900,0.0256923,206,2.58572038
MAR_MOSCOW_3_F,8.13,413,380.1,14.5,3.61,220,0.1538931,210,2.272108437
May_Moscow_Post_F,7.81,432,446.9,20.7,3.01,38,0.9765149,216,0
May_Moscow_1_F,7.86,371,452.6,17.8,3.55,47,0.4370032,188,0.854209777
May_Moscow_2_F,8.02,422,436,17.7,3.28,560,0.4850785,216,1.089240178
May_Moscow_4_F,7.88,371,437.5,16.1,2.97,8200,0,186,2.58572038
May_Moscow_5_F,7.57,317,460.1,16.5,2.49,11200,0.0791093,160,3.418786908
May_Moscow_3_F,7.91,409,431.2,16.9,3.24,295,0.1218429,206,2.272108437
November_Moscow_5_F,7.28,304,462.7,16.9,2.34,4200,0.5438372,156,0
November_Moscow_1_F,7.39,385,401.5,16.9,3.52,380,0.4423449,192,0.854209777
November_Moscow_3_F,7.33,316,404.3,15.7,3.74,915000,0,160,2.272108437
November_Moscow_2_F,7.34,316,378.6,17.7,4.86,623000,0,160,1.089240178
October_Moscow_5_F,7.4,309,402.8,19.3,2.1,5800,0,150,0
October_Moscow_2_F,7.37,306,408.1,18.1,5.3,11700,0.0150089,126,4.361369146
October_Moscow_4_F,7.45,307,441.1,18.1,3.89,310,0.0417174,156,3.522783109
September_Moscow_3_F,7.09,324,292.1,21.2,1.96,105,0,158,5.353411692
